nom,activites,adresse,code_postal,ville,departement,telephone_1,telephone_2,has_email_form,site_web,horaires,moyens_paiement,prestations,produits,zone_intervention,description,siren,siret,code_naf,date_creation,effectif,type_etablissement,note_pj,nb_avis_pj,url_pagesjaunes,date_extraction
Alizes Multiservices,"Plombiers | Plaquistes | Vente, installation de salles de bain | Dépannage plomberie",139 chemin Dubuisson 97436 Saint Leu,97436,Saint Leu,974,0693917887,0693770908,oui,,Lundi: 07h00 - 12h00 / 13h00 - 16h30 | Mardi: 07h00 - 12h00 / 13h00 - 16h30 | Mercredi: 07h00 - 12h00 / 13h00 - 16h30 | Jeudi: 07h00 - 12h00 / 13h00 - 16h30 | Vendredi: 07h00 - 12h00 / 13h00 - 16h00 | Samedi: Fermé | Dimanche: Fermé,"Espèces, Chèque, Virement bancaire",installation de sanitaire | entretien de robinetterie | rénovation de salle de bain | plomberie en pvc | fuite d'eau | plomberie en cuivre | fuite de robinet | fuite de baignoire | installateur de cabine de douche | plomberie de salle de bain | installation de wc | réparation thermostat chauffe eau | fuite de douche | fuite de wc | entretien de sanitaire,,,,848069399,84806939900014,4322A,6 février 2019,,Etablissement secondaire,5,,https://www.pagesjaunes.fr/pros/58954118,2026-01-25
ADES,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Max Do Plomberie,Plombiers,les sables 1 IMP des Poivriers 97427 L'Etang Salé,97427,L'Etang Salé,974,0692065817,0693990461,non,,,"Espèces, Chèque, Virement bancaire",entretien de robinetterie | changement de chauffe-eau | Conseils personnalisés | Devis gratuit,Chauffe-eau,,,818356529,81835652900011,4322A,1 février 2016,0 salarié,Siège,5,,https://www.pagesjaunes.fr/pros/56349505,2026-01-25
Oté Plombier,"Plombiers | Vente, installation de salles de bain",22 chemin Ste Céline Ravine des Cabris 97432 Saint Pierre,97432,Saint Pierre,974,0692939472,0693852169,non,,Lundi: 08h00 - 18h00 | Mardi: 08h00 - 18h00 | Mercredi: 08h00 - 18h00 | Jeudi: 08h00 - 18h00 | Vendredi: 08h00 - 18h00 | Samedi: 08h00 - 18h00 | Dimanche: 08h00 - 18h00,,installateur de cabine de douche | changement de chauffe-eau | plomberie de salle de bain | réparation d'émail de sanitaire | réparation de chauffe-eau | entretien de chauffe-eau | entretien de ballon d'eau chaude | débouchage de canalisation | entretien de canalisation | rénovation de salle de bain | rénovation de sanitaire | plomberie industrielle | installation de sanitaire | détection de fuite d'eau | fuite de robinet,douche à l'italienne | cabine de douche | wc | ballon d'eau chaude | plomberie de sanitaire | robinetterie | baignoire | filtration,,,813035813,81303581300027,4322A,1 septembre 2015,,Siège,5,,https://www.pagesjaunes.fr/pros/56110962,2026-01-25
P. R. D Plomberie Réunion Distribution,"Plombiers | Matériel de plomberie | Vente, installation de chauffe-eau",11 rue Pierre Aubert Ste Clotilde 97490 Saint Denis,97490,Saint Denis,974,0262972620,0338149222,oui,,,Photo de ASCBR,Intervention dans l'île de La Réunion,NF | CE,,,401740519,40174051900046,4674B,24 juillet 1995,10 à 19 salariés,Siège,,,https://www.pagesjaunes.fr/pros/07884452,2026-01-25
EDPV,Plombiers | Dépannage plomberie,71 chemin Evêché 97400 Saint Denis,97400,Saint Denis,974,0693885948,0692853826,oui,,Lundi: 07h00 - 18h30 | Mardi: 07h00 - 18h30 | Mercredi: 07h00 - 18h30 | Jeudi: 07h00 - 18h30 | Vendredi: 07h00 - 18h30 | Samedi: 07h30 - 18h30 | Dimanche: Fermé,"Espèces, Chèque, CB, Visa, Mastercard, Photo de ASCBR",détection de fuite d'eau | entretien de chauffe-eau | entretien de chauffe-eau à gaz | changement de chauffe-eau | réparation de chauffe-eau | plomberie de salle de bain | installateur de cabine de douche | rénovation de salle de bain | installation de sanitaire | rénovation de sanitaire | plomberie industrielle | débouchage de canalisation | entretien de ballon d'eau chaude | entretien de canalisation | entretien de robinetterie,,,,918640632,91864063200017,4322A,1 septembre 2022,,Siège,5,,https://www.pagesjaunes.fr/pros/61785410,2026-01-25
Batiprod,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Jean-Jean Plombier,Plombiers,St Gilles Les Bains 42 rue Eugène Dayot St Gilles Les Bains 97434 Saint Paul,97434,Saint Paul,974,0692669129,0692408577,oui,,,,climatisation | fuite de wc | entretien de canalisation | installation de lavabo | installation de douche | débouchage de canalisation | fuite d'eau | nettoyage de wc | urgence 7j/7 | installation chauffe eau | installation douche à l'italienne | dépannage canalisation | dépannage plomberie,,,,498631027,49863102700030,4322A,20 juin 2007,,Siège,5,,https://www.pagesjaunes.fr/pros/51396486,2026-01-25
Flux d'Energie,"Plombiers | Entreprises d'électricité générale | Pose de carrelages, de dallages | Matériel de plomberie | Entreprises de peinture",Réunibox Domicializ 9 rue Pierre Marinier 97438 Sainte Marie,97438,Sainte Marie,974,0692451236,0692766640,oui,,Lundi: 07h00 - 18h00 | Mardi: 24h/24 | Mercredi: 24h/24 | Jeudi: 24h/24 | Vendredi: 24h/24 | Samedi: 24h/24 | Dimanche: Fermé,"Espèces, Chèque, Virement bancaire",détection de fuite d'eau | entretien de chauffe-eau | changement de chauffe-eau | réparation de chauffe-eau | plomberie de salle de bain | installateur de cabine de douche | rénovation de salle de bain | installation de sanitaire | rénovation de sanitaire,ballon d'eau chaude | chauffe-eau thermodynamique | plomberie de sanitaire | cabine de douche | douche à l'italienne | baignoire | robinetterie | wc,,,902185487,90218548700029,4321A,10 août 2021,,Siège,,,https://www.pagesjaunes.fr/pros/61051684,2026-01-25
Société de Rénovation et d'Aménagement Réunion SRA Réunion,Plombiers,Rle Des Cypres 32 Quinquies route Tevelave 97425 Les Avirons,97425,Les Avirons,974,0692652680,0693770908,oui,,,,,,,,827535741,82753574100025,4322A,2 janvier 2017,,Siège,,,https://www.pagesjaunes.fr/pros/60993105,2026-01-25
A 2 Lo,Plombiers,14 rue Manicon Tailame 97410 Saint Pierre,97410,Saint Pierre,974,0692490981,0693852169,oui,,,"Espèces, Virement bancaire, Chèque",rénovation de salle de bain | plomberie de salle de bain | remplacement de robinet | remplacement de chauffe-eau | installation de sanitaire | détection de fuite d'eau | plombier,,,,884211541,88421154100013,4322A,15 juillet 2020,,Siège,5,,https://www.pagesjaunes.fr/pros/60617443,2026-01-25
Stop Fuites,Plombiers,60 Ter la Plaine des Cafres 60 chemin Lupin la Plaine des Cafres 97418 Le Tampon,97418,Le Tampon,974,0693639523,0692038510,non,,Lundi: 08h00 - 17h00 | Mardi: 08h00 - 17h00 | Mercredi: 08h00 - 17h00 | Jeudi: 08h00 - 17h00 | Vendredi: 08h00 - 17h00 | Samedi: Fermé | Dimanche: Fermé,"Espèces, Chèque",détection de fuite d'eau | fuite d'eau | réparation de chauffe-eau | installation de lavabo | pose de canalisation | entretien de sanitaire | urgence plomberie | installation de wc | entretien de ballon d'eau chaude | rénovation de sanitaire | entretien de chauffe-eau | fuite de piscine | entretien de chauffe-eau à gaz | fuite de wc | installateur de cabine de douche,,,,910612712,91061271200018,4322A,11 février 2022,1 à 2 salariés,Siège,5,,https://www.pagesjaunes.fr/pros/61475582,2026-01-25
Bastien Plomberie Services,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Will Depann Zot Pomberi SAS,Plombiers,Ste Clotilde 13 allée Tisserins Ste Clotilde 97490 Saint Denis,97490,Saint Denis,974,0692020054,0338149222,non,,Lundi: 08h00 - 12h00 / 14h00 - 17h00 | Mardi: 08h00 - 12h00 / 13h00 - 17h00 | Mercredi: Fermé | Jeudi: 08h00 - 12h00 / 13h00 - 17h00 | Vendredi: 08h00 - 12h00 / 13h00 - 17h00 | Samedi: 08h00 - 12h00 / 14h00 - 17h00 | Dimanche: Fermé,"Photo de ASCBR, Chèque, Espèces, Virement bancaire",,,,,840151021,84015102100010,4322A,1 juin 2018,0 salarié,Siège,,,https://www.pagesjaunes.fr/pros/58140044,2026-01-25
Osmose Plomberie et Climatisation,"Plombiers | Vente, installation de salles de bain | Études en économie d'énergie",13 impasse Démosthène 97430 Le Tampon,97430,Le Tampon,974,0693918046,0692038510,oui,,Lundi: 07h00 - 17h00 | Mardi: 07h00 - 17h00 | Mercredi: 07h00 - 17h00 | Jeudi: 07h00 - 17h00 | Vendredi: 07h00 - 17h00 | Samedi: 08h00 - 17h00 | Dimanche: 08h00 - 12h00,"Espèces, Chèque, Virement bancaire, CB, Visa, Mastercard",détection de fuite d'eau | entretien de chauffe-eau | changement de chauffe-eau | réparation de chauffe-eau | plomberie de salle de bain | installateur de cabine de douche | rénovation de salle de bain | installation de sanitaire | rénovation de sanitaire | curage de wc | débouchage de canalisation | détection de gaz | entretien de canalisation | entretien de sanitaire | fuite d'eau,plomberie de sanitaire | douche à l'italienne | robinetterie | wc | cabine de douche | baignoire | ballon d'eau chaude,,,915398812,91539881200015,4322A,22 juillet 2022,,Siège,5,,https://www.pagesjaunes.fr/pros/61822955,2026-01-25
Yess Plomberie,Plombiers,13 chemin Napoléon 97429 Petite Ile,97429,Petite Ile,974,0692859176,0693978364,oui,,Lundi: 07h00 - 19h00 | Mardi: 07h00 - 19h00 | Mercredi: 07h00 - 19h00 | Jeudi: 07h00 - 19h00 | Vendredi: 07h00 - 19h00 | Samedi: 07h00 - 19h00 | Dimanche: 07h00 - 19h00,,réparation de chauffe-eau | détection de fuite d'eau | entretien de chauffe-eau | changement de chauffe-eau | plomberie de salle de bain | installateur de cabine de douche | rénovation de salle de bain | installation de sanitaire | rénovation de sanitaire | débouchage de canalisation | entretien de ballon d'eau chaude | entretien de sanitaire | entretien de wc de chantier | fuite d'eau | fuite de robinet,ballon d'eau chaude | chauffe-eau thermodynamique | plomberie de sanitaire | cabine de douche | douche à l'italienne | baignoire | robinetterie | wc,,,897666244,89766624400024,4322A,,,Siège,,,https://www.pagesjaunes.fr/pros/60898561,2026-01-25
Reyes Plomberie,Plombiers,17 allée Evis le Piton St Leu 97424 Saint Leu,97424,Saint Leu,974,0692679058,0693770908,non,,Lundi: 07h30 - 17h30 | Mardi: 07h30 - 17h30 | Mercredi: 07h30 - 17h30 | Jeudi: 07h30 - 17h30 | Vendredi: 07h30 - 17h30 | Samedi: 07h30 - 12h30 | Dimanche: Fermé,,fuite de robinet | plomberie industrielle | plomberie en cuivre | changement de chauffe-eau | remplacement de chauffe-eau | installation de sanitaire | dépannage de sanitaire | installateur de cabine de douche | réparation d'émail de sanitaire | rénovation de salle de bain | remplacement de robinet | débouchage de canalisation | fuite de wc | installation de lavabo | rénovation de wc,,,,890691553,89069155300014,4322A,,,Siège,,,https://www.pagesjaunes.fr/pros/60542723,2026-01-25
Solution Btp,Plombiers | Dépannage plomberie,4 avenue Pere Rene Payet 97450 Saint Louis,97450,Saint Louis,974,0693637095,0693990461,non,,Lundi: 07h55 - 19h00 | Mardi: 07h35 - 19h00 | Mercredi: 07h45 - 19h00 | Jeudi: 07h55 - 19h00 | Vendredi: 07h30 - 19h00 | Samedi: 07h10 - 19h00 | Dimanche: Fermé,"CB, Espèces, Chèque",détection de fuite d'eau | fuite de baignoire | fuite de douche | rénovation de salle de bain | rénovation de sanitaire | fuite d'eau | plomberie de salle de bain | pose réducteur de pression d'eau | dépannage de canalisation | débouchage de canalisation de wc | inspection vidéo de canalisation | installation de sanitaire | fuite de piscine | recherche de fuite,plomberie de sanitaire,,,904000445,90400044500018,4322A,,1 à 2 salariés,Siège,,,https://www.pagesjaunes.fr/pros/62395228,2026-01-25
Sos Fuites 974,Plombiers | Dépannage plomberie | Entreprises d'étanchéité,7 lotissement Royer 97412 Bras Panon,97412,Bras Panon,974,0692722084,0693130857,non,,Lundi: 07h00 - 19h00 | Mardi: 07h00 - 19h00 | Mercredi: 07h00 - 19h00 | Jeudi: 07h00 - 19h00 | Vendredi: 07h00 - 19h00 | Samedi: 07h00 - 13h00 | Dimanche: Fermé,"Espèces, Chèque, Virement bancaire, Visa, Mastercard",détection de fuite d'eau | fuite de piscine | fuite de robinet | fuite d'eau | pose réducteur de pression d'eau | inspection vidéo de canalisation | entretien de chauffe-eau,caméra d'assainissement | chauffe-eau thermodynamique | ballon d'eau chaude,,,903171239,90317123900010,4322A,,,Siège,5,,https://www.pagesjaunes.fr/pros/61518376,2026-01-25
Eco Plomberie Reunion,Plombiers,39 chemin Nassibou 97410 Saint Pierre,97410,Saint Pierre,974,0692176842,0693852169,oui,,Lundi: 08h00 - 18h00 | Mardi: 08h00 - 18h00 | Mercredi: 08h00 - 18h00 | Jeudi: 08h00 - 18h00 | Vendredi: 08h00 - 16h00 | Samedi: Fermé | Dimanche: Fermé,"Espèces, Virement bancaire, CB",débouchage de canalisation | installation de sanitaire | dépannage de sanitaire | rénovation de sanitaire | urgence plomberie,chasse d'eau | chauffe-eau | ballon d'eau chaude | caméra d'assainissement | plomberie de sanitaire | douche à l'italienne | baignoire | robinetterie | wc,,,883247082,88324708200026,4322A,30 avril 2020,1 à 2 salariés,Siège,5,,https://www.pagesjaunes.fr/pros/60396863,2026-01-25
Inov2 Elec,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Plomberie Merle,"Plombiers | Vente, installation de chauffe-eau",69 chemin Surprise 97436 Saint Leu,97436,Saint Leu,974,0692858516,0693770908,non,,Lundi: 07h30 - 17h00 | Mardi: 07h30 - 17h00 | Mercredi: 07h30 - 17h00 | Jeudi: 07h30 - 17h00 | Vendredi: 07h30 - 17h00 | Samedi: 08h00 - 12h00 | Dimanche: Fermé,"Chèque, Espèces, Virement bancaire",remplacement de chauffe-eau | réparation de chauffe-eau | remplacement de robinet | fuite d'eau | fuite de robinet | plomberie de salle de bain | installation de sanitaire | fuite de wc | entretien de chauffe-eau | installateur de machine à laver | installation de wc | changement de chauffe-eau | rénovation de sanitaire | détartrage de ballon d'eau chaude | entretien de ballon d'eau chaude,chauffe-eau thermodynamique | plomberie de sanitaire,,,809271513,80927151300024,4322A,,,Siège,5,,https://www.pagesjaunes.fr/pros/56070539,2026-01-25
A.S. Plomberie,Plombiers,24 chemin Terrain d'Aviation 97410 Saint Pierre,97410,Saint Pierre,974,0693978364,0338149222,oui,,Lundi: 07h30 - 18h00 | Mardi: 07h30 - 18h00 | Mercredi: 07h30 - 18h00 | Jeudi: 07h30 - 18h00 | Vendredi: 07h30 - 18h00 | Samedi: 07h30 - 18h00 | Dimanche: Fermé,,rénovation de salle de bain | plomberie de salle de bain | changement de chauffe-eau | entretien de chauffe-eau à gaz | débouchage de canalisation | installation de mitigeur | entretien de chauffe-eau | réparation de chauffe-eau | détartrage de ballon d'eau chaude | fuite de robinet | détection de fuite d'eau | pose réducteur de pression d'eau | entretien de canalisation | installateur de machine à laver | entretien de sanitaire,plomberie de sanitaire | ballon d'eau chaude | baignoire | cabine de douche | douche à l'italienne | robinetterie | wc,,,750934135,75093413500039,4322A,29 mars 2012,0 salarié,Siège,5,,https://www.pagesjaunes.fr/pros/57109603,2026-01-25
Fréddy Arnaud,Plombiers,23 Bis chemin Essob St Gilles les Hauts 97435 Saint Paul,97435,Saint Paul,974,0693038033,0692669129,non,,Lundi: 07h00 - 17h00 | Mardi: 07h00 - 17h00 | Mercredi: 07h00 - 17h00 | Jeudi: 07h00 - 17h00 | Vendredi: 07h00 - 17h00 | Samedi: Fermé | Dimanche: Fermé,,,,,,,,,,,,5,,https://www.pagesjaunes.fr/pros/56438339,2026-01-25
De Villecourt Services,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-25
Sol'Eau,Plombiers | Dépannage de chauffage | Dépannage plomberie,12 T 12 rue Louis Bleriot 97480 Saint Joseph,97480,Saint Joseph,974,0693822833,0692321216,oui,,Lundi: 07h00 - 18h00 | Mardi: 07h00 - 18h00 | Mercredi: 07h00 - 18h00 | Jeudi: 07h00 - 18h00 | Vendredi: 07h00 - 16h00 | Samedi: Fermé | Dimanche: Fermé,"Chèque, Virement bancaire, Espèces",changement de chauffe-eau | entretien de chauffe-eau | réparation de chauffe-eau | plomberie de salle de bain | rénovation de sanitaire | détartrage de ballon d'eau chaude | entretien de ballon d'eau chaude | entretien de canalisation | entretien de robinetterie | entretien de sanitaire | fuite d'eau | fuite de robinet | installateur de machine à laver | installateur de sèche-serviette | installation de lavabo,,,,921599577,92159957700019,4322B,21 novembre 2022,,Siège,5,,https://www.pagesjaunes.fr/pros/62070706,2026-01-25
Plombier Réunion Service P.R.S,"Dépannage plomberie | Plombiers | Vente, installation de chauffe-eau",25 ruelle Camp Jacquot 97400 Saint Denis,97400,Saint Denis,974,0692533182,0692451858,non,,Lundi: 07h30 - 18h00 | Mardi: 07h30 - 18h00 | Mercredi: 07h30 - 18h00 | Jeudi: 07h30 - 18h00 | Vendredi: 07h30 - 18h00 | Samedi: 07h30 - 12h00 | Dimanche: Fermé,,dépannage de chauffe-eau | dépannage de ballon d'eau chaude | dépannage de sanitaire | dépannage de chasse d'eau | dépannage de fuite d'eau | dépannage de canalisation | changement de chauffe-eau | fuite de robinet | fuite de wc | réparation de chauffe-eau | changement de chasse-d'eau | changement de robinetterie | changement thermostat de chauffe-eau | changement de wc | dépannage de fuite sur robinetterie,,,,,,,,,,,,https://www.pagesjaunes.fr/pros/63755210,2026-01-25
Intervention Réunion,Plombiers | Petits travaux de bricolage,6 impasse Arthur Rimbaud 97427 L'Etang Salé,97427,L'Etang Salé,974,0692021352,0693990461,non,,Lundi: 08h00 - 12h00 / 13h00 - 18h00 | Mardi: 08h00 - 12h00 / 13h00 - 18h00 | Mercredi: 08h00 - 12h00 / 13h00 - 18h00 | Jeudi: 08h00 - 12h00 / 13h00 - 18h00 | Vendredi: 08h00 - 12h00 / 13h00 - 18h00 | Samedi: 08h00 - 12h00 / 13h00 - 18h00 | Dimanche: Fermé,Chèque,fuite de robinet | fuite de wc | climatisation | plomberie en pvc | urgence plomberie | agencement de salle de bains | installation de sanitaire | plomberie en cuivre | rénovation de salle de bain | installation de wc | remplacement de robinet | réparation de chauffe-eau | installateur de cabine de douche | fuite d'eau | installation de baignoire,baignoire | plomberie de sanitaire | ballon d'eau chaude | wc | robinetterie | douche à l'italienne | cabine de douche,,,852134568,85213456800041,4322A,3 juillet 2019,,Siège,5,,https://www.pagesjaunes.fr/pros/56556873,2026-01-25
A.P.M. Aldo Plomberie Maintenance,Plombiers,105 chemin Equerre 97414 Entre Deux,97414,Entre Deux,974,0692745148,0338149222,non,,,"Espèces, Virement bancaire, Visa, CB, Mastercard",,,,,810598169,81059816900045,0149Z,1 avril 2015,,Siège,1,,https://www.pagesjaunes.fr/pros/55913848,2026-01-25
Md plomberie,Plombiers,55 allée Etoiles La Saline les Bains 97434 Saint Paul,97434,Saint Paul,974,0692408577,0692669129,oui,,,,installateur de cabine de douche | plomberie industrielle | entretien de chauffe-eau | détection de fuite d'eau | installation de sanitaire | rénovation de salle de bain | réparation d'émail de sanitaire | réparation de chauffe-eau | rénovation de sanitaire | changement de chauffe-eau | plomberie de salle de bain,ballon d'eau chaude | chauffe-eau thermodynamique,,,839677515,83967751500034,4322A,,,Siège,5,,https://www.pagesjaunes.fr/pros/58114681,2026-01-25
Reyes Plomberie,Plombiers,17 allée Evis le Piton St Leu 97424 Saint Leu,97424,Saint Leu,974,0692679058,0693770908,oui,,Lundi: 07h30 - 17h30 | Mardi: 07h30 - 17h30 | Mercredi: 07h30 - 17h30 | Jeudi: 07h30 - 17h30 | Vendredi: 07h30 - 17h30 | Samedi: 07h30 - 12h30 | Dimanche: Fermé,,fuite de robinet | plomberie industrielle | plomberie en cuivre | changement de chauffe-eau | remplacement de chauffe-eau | installation de sanitaire | dépannage de sanitaire | installateur de cabine de douche | réparation d'émail de sanitaire | rénovation de salle de bain | remplacement de robinet | débouchage de canalisation | fuite de wc | installation de lavabo | rénovation de wc,,,,890691553,89069155300014,4322A,,,Siège,,,https://www.pagesjaunes.fr/pros/60542723,2026-01-25
Plomberie Distribution,Plombiers | Débouchage de canalisations | Assainissement,Rdm Les Bas 97 chemin Jeanson 97440 Saint André,97440,Saint André,974,0692980605,0692681709,non,,Lundi: 07h30 - 16h00 | Mardi: 07h30 - 16h00 | Mercredi: 07h30 - 16h00 | Jeudi: 07h30 - 16h00 | Vendredi: 07h30 - 16h00 | Samedi: Fermé | Dimanche: Fermé,,rénovation de salle de bain | pose de canalisation | entretien de canalisation | installateur de machine à laver | urgence plomberie | pose de salle de bains | détection de fuite d'eau | installation de douche | installation de sanitaire | fuite d'eau | vidange de wc | dépannage de plomberie | réparation de fuites | travaux de plomberie générale | pose de canalisations,plomberie de sanitaire,,,752382002,75238200200018,4322A,15 juillet 2012,0 salarié,Siège,5,,https://www.pagesjaunes.fr/pros/54705865,2026-01-25
Allo Plombier,Plombiers,9 Lotissement Vert Pré chemin Boeuf Mort 97419 La Possession,97419,La Possession,974,0692646692,0338149222,non,,Lundi: 08h00 - 17h00 | Mardi: 08h00 - 17h00 | Mercredi: 08h00 - 17h00 | Jeudi: 08h00 - 17h00 | Vendredi: 08h00 - 17h00 | Samedi: Fermé | Dimanche: Fermé,,,,,,901130260,90113026000010,9003A,2 juillet 2021,,Siège,,,https://www.pagesjaunes.fr/pros/06806713,2026-01-25
Saidali Hamissi,Plombiers,9 avenue Cocotiers 97400 Saint Denis,97400,Saint Denis,974,0693835667,0693498535,oui,,Lundi: 07h00 - 17h00 | Mardi: 07h00 - 17h00 | Mercredi: 07h00 - 17h00 | Jeudi: 07h00 - 17h00 | Vendredi: 07h00 - 17h00 | Samedi: 07h00 - 17h00 | Dimanche: Fermé,"Photo de ASCBR, Espèces, Chèque, Virement bancaire",installation de wc | débouchage de canalisation | plomberie de salle de bain | installation de baignoire | entretien de robinetterie | changement de chauffe-eau | installateur de machine à laver | détartrage de ballon d'eau chaude | entretien de wc chimique | agencement de salle de bains | détection de fuite d'eau | plomberie en cuivre | fuite de robinet | fuite de wc | détection de gaz,wc | robinetterie,,,,,,,,,,,https://www.pagesjaunes.fr/pros/58977240,2026-01-25
