nom,adresse,telephone,site_web,note,nb_avis,categorie,horaires,ville_recherche,date_extraction,source
Karukéra Assainissement,"Adresse: Salle d'asile, ZA de Petit Pérou, Les Abymes 97139, Guadeloupe",+590590200020,https://www.karukera-assainissement.fr/,4.0,4,Service d'entretien des gouttières,,"Les Abymes, Guadeloupe",2026-01-25T16:48:39.998460,google_maps
P-TYLU,"Adresse: Impasse Maraudière, Imp. Labrousse, Le Gosier 97190, Guadeloupe",+590691238060,,4.0,4,Plombier,,"Les Abymes, Guadeloupe",2026-01-25T16:48:45.830332,google_maps
Plomberie Dom La Jaille,"Adresse: ZAC de la Grande Voie, Rue Thomas Edison, Baie-Mahault 97122, Guadeloupe",+590590323838,https://plomberiedom.com/,4.0,4,Magasin de matériel de plomberie,,"Les Abymes, Guadeloupe",2026-01-25T16:48:55.903273,google_maps
AMPG Plomberie,"Adresse: 18 Rue Fulton, Baie-Mahault 97122, Guadeloupe",+590590267001,,4.0,4,Magasin de matériel de plomberie,,"Les Abymes, Guadeloupe",2026-01-25T16:49:11.486610,google_maps
Kogy Plomberie,,+590690973180,,4.0,4,Plombier,,"Les Abymes, Guadeloupe",2026-01-25T16:49:14.638427,google_maps
STYLE PLOMB,"Adresse: 6G45+C5G, Lieu Dit Tombeau Grande Ravine Grande Ravine, Le Gosier 97190, Guadeloupe",+590590229151,,4.0,4,Spécialiste de la salle de bains,,"Les Abymes, Guadeloupe",2026-01-25T16:49:17.060205,google_maps
COSTALU,"Adresse: Rte de Terrasson, Les Abymes 97139, Guadeloupe",0974397505,https://www.welinkbuilders.fr/carreleur/charpentier/chauffagiste/couvreur/macon/electricien/menuisier/peintre/platrier/plombier/plaquiste/97139-les-abymes-guadeloupe/costalu-941,4.0,4,Menuisier,,"Les Abymes, Guadeloupe",2026-01-25T16:49:20.284621,google_maps
"LG Services Plomberie, Entretien Climatisation 100% BIO","Adresse: Lot. Frair Unis, Le Gosier 97190, Guadeloupe",+590690648074,,4.0,4,Service de nettoyage et d'entretien,,"Les Abymes, Guadeloupe",2026-01-25T16:49:23.155219,google_maps
Sopsag,"Adresse: ZI de Jarry, 97122 Rue Fulton, Baie-Mahault 97122, Guadeloupe",+590590325555,http://www.sopsag.fr/,4.9,17,Magasin de matériel de plomberie,,"Baie-Mahault, Guadeloupe",2026-01-25T16:50:39.073675,google_maps
Stop Fuite Guadeloupe,"Adresse: 1 Lot Vince Arnouville, Petit-Bourg 97170, Guadeloupe",+590690758148,https://www.stopfuite.com/,4.9,17,Plombier,,"Baie-Mahault, Guadeloupe",2026-01-25T16:50:45.063165,google_maps
Plomberie Dom Moudong,"Adresse: 6CR9+8M6, Baie-Mahault 97122, Guadeloupe",+590590320040,http://www.plomberiedom.com/,4.9,17,Magasin de matériel de plomberie,,"Baie-Mahault, Guadeloupe",2026-01-25T16:50:49.713886,google_maps
Solarinox Guadeloupe,"Adresse: Voie Principale de Jarry Baie Mahault Baie-Mahault, 97122, Guadeloupe",+590590900102,https://www.solarinox-guadeloupe.com/,4.9,17,Fournisseur de chauffe-eau solaires,,"Baie-Mahault, Guadeloupe",2026-01-25T16:50:52.006409,google_maps
Eco Soley Énergie,"Adresse: ZI de Jarry, 774 Rue de la Chapelle, Baie-Mahault 97122, Guadeloupe",+590690952691,,4.9,17,Fournisseur d'équipements d'énergie solaire,,"Baie-Mahault, Guadeloupe",2026-01-25T16:51:04.473079,google_maps
100 % Concept Rénovation,"Adresse: 6 Rue Eugene Freyssinet, Baie-Mahault 97122, Guadeloupe",+590590050150,http://www.100pour100conceptrenovation.com/,4.9,17,Entreprise de construction,,"Baie-Mahault, Guadeloupe",2026-01-25T16:51:09.764874,google_maps
PROCAP,"Adresse: 6CMV+V98, Baie-Mahault 97122, Guadeloupe",+590590381414,https://procap.fr/,4.9,17,,,"Baie-Mahault, Guadeloupe",2026-01-25T16:51:26.664008,google_maps
Sopsa-TP,"Adresse: Baie-Mahault 97122, Guadeloupe",+590590940155,http://www.sopsa-plomberie.fr/guadeloupe/sopsa-tp-assainissement-recuperation-traitement-eau,4.9,17,Magasin de matériel de plomberie,,"Baie-Mahault, Guadeloupe",2026-01-25T16:51:58.797836,google_maps
Caraibes Habitat et Renovation,"Adresse: Z.I. jarry, 44 Rue de la Vierge, Baie-Mahault 97122, Guadeloupe",+590590995401,https://www.instagram.com/caraibeshabitat/?utm_source=gmb,4.9,17,Travaux généraux,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:07.418876,google_maps
ALUCIMENT - Rénovation & Construction,"Adresse: 1770 Rue de l'Industrie, Baie-Mahault 97122, Guadeloupe",+590690126971,https://aluciment.com/,4.9,17,Entreprise de construction,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:10.367669,google_maps
CARINI PLOMBERIE URGENCES GUADELOUPE,"Adresse: Impasse des amazones, Baie-Mahault 97122, Guadeloupe",+590690759639,,4.9,17,Plombier,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:12.299204,google_maps
AZUR VIDANGES,"Adresse: 212 Rue Nobel, Baie-Mahault 97122, Guadeloupe",+590590857171,,4.9,17,Service d'entretien et de réparation de fosses septiques,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:17.466770,google_maps
Expres Renov,"Adresse: ZI de Jarry, Rue Robert Fulton, Baie-Mahault 97122, Guadeloupe",+590690402315,https://www.expresrenov.com/,4.9,17,Entreprise de construction,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:22.815389,google_maps
Caraïbes service plus,"Adresse: Centre Commercial Moudong Plaza, Baie-Mahault 97122, Guadeloupe",+590590382690,,4.9,17,Magasin,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:28.227472,google_maps
Electro Nautic,"Adresse: ZI de Jarry, Rue Robert Fulton, Baie-Mahault 97122, Guadeloupe",+590590380409,https://electro-nautic.com/,4.9,17,Magasin d'électroménager,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:32.399244,google_maps
EC'EAU PLUS,"Adresse: IMMEUBLE ODYSSEE, ZAC DE COLIN, Petit-Bourg 97170, Guadeloupe",+590590601811,,4.9,17,Plombier,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:39.685465,google_maps
Baie mahault guadeloupe,"Adresse: 7C97+57C, Baie-Mahault 97122, Guadeloupe",+590690368871,,4.9,17,Association ou organisation,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:41.980250,google_maps
FCR Formation Construction Réseaux,"Adresse: 17 Rue Henri Becquerel, Baie-Mahault 97122, Guadeloupe",+590590260481,http://www.cfpcn.fr/,4.9,17,Centre de formation continue,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:45.000258,google_maps
Be Renov' Guadeloupe,"Adresse: Immeuble Sud, Z.I de Jarry, Rue René Rabat, Baie-Mahault 97122, Guadeloupe",+590690059183,https://www.berenovguadeloupe.com/,4.9,17,Menuisier,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:48.043356,google_maps
Immeuble Encelade,"Adresse: Boulevard Marquisat de Houëlbourg, ZI de Jarry, 97122, Guadeloupe",+590690368871,,4.9,17,Siège social,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:52.516414,google_maps
Axion Insertion Guadeloupe,"Adresse: ZI de Jarry, 1242 Rue Henri Becquerel, Baie-Mahault 97122, Guadeloupe",+590590446330,,4.9,17,Agence d'intérim,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:55.485679,google_maps
JPNJ Renov,,+590690219570,,4.9,17,Plombier,,"Baie-Mahault, Guadeloupe",2026-01-25T16:52:58.661299,google_maps
GPS Plomberie 971 – Guadeloupe,"Adresse: Chem. de Douville, Goyave 97128, Guadeloupe",+590690865461,https://gpsplomberie97.com/,5.0,57,Plombier,,"Petit-Bourg, Guadeloupe",2026-01-25T16:56:42.675773,google_maps
AJ Plomberie,"Adresse: Prise D'Eau, Chem. de Fond Tivoli, Petit-Bourg 97170, Guadeloupe",+590690497767,,5.0,57,Plombier,,"Petit-Bourg, Guadeloupe",2026-01-25T16:56:45.883162,google_maps
Jt Climatisation Plomberie,"Adresse: Dupré, Sainte-Anne 97180, Guadeloupe",+590590883807,,3.3,9,Fournisseur de systèmes de climatisation,,"Sainte-Anne, Guadeloupe",2026-01-25T16:58:42.881154,google_maps
PLOMBERIES ENERGIES CARAÏBES,"Adresse: 47 Dupré Sainte Anne, 97180, Guadeloupe",+590690928757,https://www.welinkbuilders.fr/plombier/installateur-sanitaire/chauffagiste/97180-sainte-anne-guadeloupe/plomberies-energies-caraibes-618,3.3,9,Plombier,,"Sainte-Anne, Guadeloupe",2026-01-25T16:58:45.093751,google_maps
Vanoukia Pierre-Marc,"Adresse: 6JP5+5JM, Sainte-Anne 97180, Guadeloupe",+590590889193,,3.3,9,Plombier,,"Sainte-Anne, Guadeloupe",2026-01-25T16:58:47.216206,google_maps
Plomberie Technique Ajas,"Adresse: Section Bérard, Sainte-Anne 97180, Guadeloupe",+590690355004,,3.3,9,,,"Sainte-Anne, Guadeloupe",2026-01-25T16:58:49.740125,google_maps
PLOMBERIE PLUS,,+590690477362,,5.0,39,Plombier,,"Capesterre-Belle-Eau, Guadeloupe",2026-01-25T17:02:45.022731,google_maps
ETS POMMEZ - Quincaillerie Saint-Jean - Capesterre-Belle-Eau,"Adresse: Rue de l'Ilet Perou, Capesterre-Belle-Eau 97130, Guadeloupe",+590590861718,http://www.etspommez.fr/,5.0,39,Magasin d'articles de salle de bains,,"Capesterre-Belle-Eau, Guadeloupe",2026-01-25T17:02:47.460202,google_maps
ITS PLOMBERIE SERVICES,,+590690601277,,5.0,39,Plombier,,"Capesterre-Belle-Eau, Guadeloupe",2026-01-25T17:02:53.277584,google_maps
RTN Plomberie et Climatisation,"Adresse: 130, Allée de l'industrie, ZA Les Pères Blancs, Baillif 97123, Guadeloupe",+590690927515,,4.8,5,Plombier,,"Basse-Terre, Guadeloupe",2026-01-25T17:04:34.277851,google_maps
Tranquility services,"Adresse: 2729+78M, Rue Delrieu, Basse-Terre 97100, Guadeloupe",+590690324060,,4.8,5,Électricien,,"Basse-Terre, Guadeloupe",2026-01-25T17:04:38.980146,google_maps
S.C.M.B Preira,"Adresse: ZA de Calebassier, Basse-Terre 97100, Guadeloupe",+590590812101,,4.8,5,Magasin de matériel de plomberie,,"Basse-Terre, Guadeloupe",2026-01-25T17:04:42.227846,google_maps
Plomberielise,"Adresse: groupe salinière bâtiment polka N 36, Pass. du Pont Viard, Fort-de-France 97200, Martinique",+596696294998,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:27.427644,google_maps
KI PWOBLEM KI NI,"Adresse: Quartier Bas Maternité, Rue du Dr Victor Fouche, Fort-de-France 97200, Martinique",+596696020024,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:30.100368,google_maps
EURO PLOMBERIE,"Adresse: 12 Avenue Du Professeur Turiaf, Cité Dillon, Fort-de-France 97200, Martinique",+596696822346,http://plombier-martinique.com/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:32.812536,google_maps
Béreau Jean- plombier,"Adresse: MW48+X7R, Rte de Balata, Fort-de-France 97200, Martinique",+596696272047,https://www.jean-bereau.fr/,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:34.849859,google_maps
Stop Plombier,"Adresse: 69 Rue Jules Monnerot, Fort-de-France 97200, Martinique",0596730888,https://www.stop-plombier.com/,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:38.029466,google_maps
"Home Secours- serrurier, plombier, électricien","Adresse: 617 Rue Rosalie Soleil, Fort-de-France 97200, Martinique",+596596722722,https://homesecours.fr/accueil,4.6,40,Serrurier,,"Fort-de-France, Martinique",2026-01-25T17:06:40.489182,google_maps
MonPlombier,"Adresse: Zac de Riviere-Roche, Bat E4, Fort-de-France 97200, Martinique",+596596610416,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:42.548274,google_maps
Mecalv Plomberie,"Adresse: 105 Rte des Religieuses, Fort-de-France 97200, Martinique",+596596310300,http://xn--socit-esab.com/,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:45.272627,google_maps
Plomb'Assistance,"Adresse: 33 Rue de la Lampe d'Aladin, Fort-de-France 97200, Martinique",0596428622,https://www.plombassistance.fr/,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:47.637703,google_maps
Plomberie Habitat,,+596696298100,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:49.514928,google_maps
Plomberie Environnement,"Adresse: 49 Rte de L Entraide, Fort-de-France 97200, Martinique",+596596735573,http://plomberieenvironnement.com/,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:52.093919,google_maps
E.B Plomberie et Travaux Divers,,+596696206952,https://www.facebook.com/profile.php?id=61584235671334,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:53.982296,google_maps
Alerte Alain,"Adresse: 18 Rte de Cluny, Fort-de-France 97200, Martinique",0596637961,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:56.610016,google_maps
SOPAM ANTILLES,"Adresse: 12 rue des Arts et métier, Lot Dillon Stade, Fort-de-France 97200, Martinique",+596696982012,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:06:59.012999,google_maps
Plomberie nm services,"Adresse: Lot st Antoine, Rte de Balata, Fort-de-France 97234, Martinique",+596696688086,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:07:01.546581,google_maps
Plocara,"Adresse: Les Hauts de Morne, Av. de Dillon, Fort-de-France 97200, Martinique",+596596500434,http://www.sopsa-plomberie.fr/martinique/plocara-magasin-sanitaire-salle-de-bain-cuisine,4.6,40,Magasin de matériel de plomberie,,"Fort-de-France, Martinique",2026-01-25T17:07:04.104994,google_maps
Clean Plomberie,,+596696004121,https://cleanplomberie.com/,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:07:07.174857,google_maps
S.i.p.a.c,"Adresse: 2 Rue de la Rejane, Fort-de-France 97200, Martinique",0596300504,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:07:09.611638,google_maps
Cédric Tinaugus Plombier Martinique,"Adresse: quartier bois soldat, Le François 97240, Martinique",+596696236560,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:07:11.519734,google_maps
JEP Services,"Adresse: 40 Av. Louis Georges Plissonneau, Fort-de-France 97200, Martinique",0696304507,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:07:13.801557,google_maps
Jo Plomberie 972,"Adresse: 2 Petite Tracee, Gros-Morne 97213, Martinique",+596696024488,,4.6,40,Plombier,,"Fort-de-France, Martinique",2026-01-25T17:07:20.894086,google_maps
S.P.I. Plomberie,"Adresse: JXC9+M4W, Lot. les Hauts de Californie, Lamentin (Le 97232, Martinique",0596571480,,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:09:02.308515,google_maps
M.t.p.p M.t.plomberie Plus,"Adresse: Habitation Bois Carre, Lamentin (Le) 97232, Martinique",0596511698,,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:09:05.441890,google_maps
Plomberie Dom Californie,"Adresse: Lot. les Hauts de Californie, Le Lamentin 97232, Martinique",+596596425505,http://www.plomberiedom.com/,4.3,3,Magasin de matériel de plomberie,,"Le Lamentin, Martinique",2026-01-25T17:09:07.751083,google_maps
Plomberie Dom Lézarde,"Adresse: ZI la Lezarde, Le Lamentin 97232, Martinique",+596596571480,https://plomberiedom.com/,4.3,3,Magasin de matériel de plomberie,,"Le Lamentin, Martinique",2026-01-25T17:09:12.810459,google_maps
Benoit Multiservices,,+596696746740,https://www.facebook.com/Beno%C3%AEt-multiservices-672023852996647/,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:09:14.764806,google_maps
TSPLOMBERIE,"Adresse: ZI la Lezarde, Le Lamentin 97232, Martinique",+596696197640,,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:09:16.786876,google_maps
AFP COTTRELL Plomberie,"Adresse: N4, Petit Pré, Quartier Mahault, Le Lamentin 97232, Martinique",+596596666010,http://www.cottrell-martinique.fr/Mahault-AFP,4.3,3,Magasin de matériel de plomberie,,"Le Lamentin, Martinique",2026-01-25T17:09:22.263802,google_maps
DEFI PLOMBERIE,,+596696892003,,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:09:35.493455,google_maps
Top plomberie972,,+596696531639,,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:09:42.892239,google_maps
Plomberie Dom Ducos,"Adresse: ZA Champigny, Ducos 97224, Martinique",+596596771500,https://plomberiedom.com/,4.3,3,Magasin de matériel de plomberie,,"Le Lamentin, Martinique",2026-01-25T17:09:45.908996,google_maps
SaniPro Services,,+596696321926,https://sites.google.com/view/sanipro-services972/accueil,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:09:49.057705,google_maps
COTTRELL MATERIAUX & COTTRELL CARRELAGE - MANGOT VULCIN,"Adresse: Route du vert Pré, Mangot Vulcin, Le Lamentin 97232, Martinique",+596596391515,https://cottrell-martinique.fr/trouver-votre-magasin/mangot-vulcin/,4.3,3,Magasin de materiaux de construction,,"Le Lamentin, Martinique",2026-01-25T17:09:59.941630,google_maps
Bing plomberie,,+596696074170,,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:10:05.917049,google_maps
DPSCE,,+596696917785,,4.3,3,Plombier,,"Le Lamentin, Martinique",2026-01-25T17:10:07.893073,google_maps
